artist_name,listeners,playcount,bio_summary
EXID,451046,21327169,"EXID are a five-member South Korean girl group under Sony Music Korea. The group consists of Solji, Elly (formerly known as LE), Hani, Hyelin and Jeonghwa. Their name is short for ""Exceed In Dreaming"". They made their official debut on February 16, 2012 with their single HOLLA, promoting the title track, ""Whoz That Girl"". The group originally debuted with six members, but three members (Yuzi, Dami and Haeryung) decided to leave the group two months after the group's debut, and were replaced by two new members, Hyelin and Solji."
George Ezra,1431693,31770093,"George Ezra (full name George Ezra Barnett) is a British singer-songwriter from Hertford, England. Born on June 7, 1993, and the son of an art teacher, Ezra grew up in Hertford, attending Bengeo primary school and then Simon Balle Secondary School, before moving to Bristol, England, in 2011 to pursue a music degree at the influential music school “BIMM.” His younger brother Ethan Barnett is also a musician and goes by the name Ten Tonnes. Ezra's music is described as deep"
David Barrull,2418,20351,
Mr Jones Machine,8341,107492,"As possibly Sweden's finest synthpop act you find the original duo of brothers Jarmo Ollila and Jouni Ollila (famous from acts like Daily Planet, Pouppée Fabrikk, La Vouge etc) later joined by their good friend Magnus Lindström on tour and becoming a permanent member on the following albums to date. The production, the melodies and not least a strong personal vocal performance has brought them to the absolute top among the classic synthpop-acts in Scandinavia."
Chris Brown,4709986,155522558,"Christopher Maurice Brown (born May 5, 1989) is an American singer, songwriter, rapper, dancer, and actor. His music incorporates elements of R&B, pop, and hip-hop, and he is known for his vocal and dance performances. Brown has often been described by commentators and peers as one of the leading contemporary R&B artists, with comparisons frequently drawn between his performance style and that of Michael Jackson. In 2004, Brown signed with Jive Records and released his self-titled debut studio album the following year."
Antônio Carlos Jobim,1150590,20558253,"Antônio Carlos Brasileiro de Almeida Jobim (January 25, 1927 – December 8, 1994), also known as Tom Jobim, was a Brazilian composer, pianist, songwriter, arranger and singer. Widely considered as one of the great exponents of Brazilian music, Jobim internationalized bossa nova and, with the help of important American artists, merged it with jazz in the 1960s to create a new sound with remarkable popular success. As such he is sometimes known as the ""father of bossa nova""."
Bogdan Artistu,3762,22666,
Ane Brun,647393,14035203,"Ane Brun (IPA ænə brun), real name Ane Brunvoll (born 10 March 1976), is a Norwegian singer/songwriter, born and raised in Molde, Norway. She lives in Stockholm, Sweden. After a few years of numerous live stints in Sweden and Norway and several non-official EP releases Ane Brun gained her own fan-base and her first official album - Spending Time with Morgan was released at the end of May, 2003 in Scandinavia, and in various European countries in the fall of 2003."
Fantasy Project feat. NDA,112290,835768,
Moana,11939,120027,"1. MOANA (now known as Mayatrix & the Psychics is an avant-garde art rock outfit edging around something otherworldly, verging on genuinely dangerous. Combining the shamanic stream-of-consciousness poetry of peak-era Patti Smith with psychedelic melodies, grungy guitar licks, and propulsive rhythms, Moana doesn’t so much craft songs as pagan prayers set to the heartbeat of the world. https://moanamoana.bandcamp.com/ 2. A door is being closed with a bang"
