artist_name,bio_summary,listeners,playcount,similar_artists
2 In A Room,"2 In A Room is a hip hop and house music duo from Washington Heights, New York, which includes rapper Rafael ""Dose"" Vargas and producer/remixer Roger ""Rog Nice"" Pauletta. They are best known for their 1990 hit ""Wiggle It"", which spent two weeks at #1 on the Hot Dance Music/Club Play chart (#3 in the UK) and then crossed over to mainstream radio and climbed to #15 on the Hot 100, eventually becoming a gold single. ""El Trago (the Drink)"" was a #86 Hot 100 chart entry (the last of their pop hits)",29977,117673,"['49ers', 'Black Box', 'Cappella', 'Technotronic', 'Mr. Lee']"
2001:Canarias,,267,877,[]
B.P.M. System,,1409,6747,"['Lady Gee', 'Kike Boy', 'Kryss', 'New Limit', 'Interfront']"
Brian Cross,"Brian Cross is a Spanish DJ, Producer and Business Entrepreneur with a unique approach to the ever-changing music industry. With Festivals like Tomorrowland, Tomorrowworld and Sunburn GOA in his touring schedule, Sony Music as record label and a big studio album on the way, it's safe to say that Brian Cross is a name to keep a close eye on in the nearest future. Born and raised in Barcelona, Brian started his musical career remixing Frank Trax’s",29253,125998,"['DJ Nano', 'Dani Moreno', 'Jose AM', 'Wally Lopez', 'Geo Da Silva & Saftik']"
Corban Urban,,18,98,[]
Crossfire,"There are at least 17 bands that have used the name Crossfire. 01. A metal band from Belgium 02. A metal band from Ankara, Turkey 03. Drum and Bass DJ from Europe 04. A jazz fusion band from Australia 05. A blues band from Northern Ireland 06. A metal band from Ecuador 07. A glam metal band from Israel 08. A punk/ska band from Scotland 09. A straight edge punk band from the United Kingdom 10. An Alternative/Punk Rock band from the UK 11. A psychobilly/punkabilly band from Japan.",49882,382443,"['Atomkraft', 'Iron Angel', 'Agent Steel', 'Acid', 'Abattoir']"
Don Latino,,3123,10119,"['Croni-K', 'Fraag Malas', 'Yulien Oviedo', 'Jay Santos', 'Gocho']"
Fiesta pop,,1032,4664,"['The Refrescos', 'Los Inhumanos', 'David Otero', 'Alarma', 'Los Rebeldes']"
Freeway,"There is more than one artist with the name Freeway: The first is: 1. Leslie Edward Pridgen (born March 24, 1977), better known by his stage name Freeway, is an American rapper. Freeway a.k.a. Philly Freeway began rapping while in high school. He later met fellow rapper Beanie Sigel, who would be signed to Roc-A-Fella and later help Freeway get a contract with the record label. Freeway became one of the label's most visible artists after making",333157,2274785,"['Memphis Bleek', 'Beanie Sigel', 'Jadakiss', ""Cam'ron"", 'Juelz Santana']"
Generis,,541,1877,"['New Limit', 'Aldus Haza', 'Kike Boy', 'Emotional G', 'Committe']"
Hanson,"There are at least two artists which have used the name Hanson 1. A pop rock group from Oklahoma, United States 2. A funk rock group from the United Kingdom active in the 1970's. 1. Hanson are an American pop rock band from Tulsa, Oklahoma. The band consists of guitarist and vocalist Isaac Hanson (born November 17, 1980) pianist and vocalist Taylor Hanson (born March 14, 1983), and drummer and vocalist Zac Hanson (born October 22, 1985). Their work has spanned many different genres, including rock, blues, folk, and pop.",989366,14878129,"['Aaron Carter', 'O-Town', 'Backstreet Boys', 'Nick Carter', '*NSYNC']"
High Density,,644,2826,"['Nacho Division', 'Aldus Haza', 'K.R.B.', 'PG2', 'Bpm System']"
Iggy Pop,"Iggy Pop (born James Newell Osterberg, Jr.; April 21, 1947) is an American singer, songwriter, musician, and actor. Though widely known as an innovator and ""godfather"" of punk rock, Pop's music has encompassed a number of styles over the years, including pop, hard rock, jazz and blues. Pop became known as 'Iggy' in high school, during which time he served as drummer for local blues band The Iguanas. He is vocalist of influential proto-punk band The Stooges (Pop and the other surviving members of the group reunited in 2003)",2239746,44307619,"['The Stooges', 'Iggy Pop & James Williamson', 'Lou Reed', 'David Bowie', 'Patti Smith']"
