artist_name,bio,listeners,playcount,similar_artists
1000mods,,97428.0,2160578.0,Dozer; Greenleaf; Stoned Jesus; Truckfighters; Planet of Zeus; Nightstalker; Black Rainbows; King Buffalo; Valley of the Sun; Fu Manchu
2 In A Room,,29992.0,117757.0,49ers; Black Box; Technotronic; Adamski; Snap!; Armand van Helden; Cappella; Mr. Lee; Inner City; Kym Sims
2001 Canarias,,576.0,1704.0,Tunnel Allstars; Dee Mark; Bismark; SQ-1; Beam Vs. Cyrus; Microbots; Flutlicht; 2000 Canarias; P2; Sun:Port
5 Seconds of Summer,"5 Seconds of Summer (también conocidos como 5SOS por sus siglas) es una banda originaria de Sídney, Australia, de géneros pop y rock. Está integrada por Luke Hemmings (voz y guitarra), Calum Hood (voz y bajo), Ashton Irwin (batería y voz) y Michael Clifford (guitarra y voz). Comenzaron a tener atención en 2012 después de publicar una serie de covers de canciones populares en YouTube, luego alcanzaron cierta popularidad cuando One Direction los invitó a su gira Take Me Home Tour.",2224343.0,204361116.0,Luke Hemmings; Calum Hood; Michael Clifford; One Direction; Niall Horan; Louis Tomlinson; The Vamps; Waterparks; Harry Styles; Jonas Brothers
AC/DC,"La historia se remonta a las antípodas australianas, en la muy escocesa Glasgow, cuando el matrimonio conformado por el Sr. y la Sra. Young, quienes ya para ese enero de 1953 contaban con cinco vástagos en su hogar, vio nacer a su nuevo hijo: Malcolm, el sexto de la cría. Nadie jamás se hubiera imaginado que el nuevo regalo del Cielo sería más tarde el encargado en tomar iniciativa con respecto a formar una de las más históricas bandas de rock.",4503125.0,210504880.0,Airbourne; Aerosmith; Motörhead; Kiss; Guns N' Roses; ZZ Top; Def Leppard; Van Halen; Deep Purple; Alice Cooper
Adrian Gurvitz,,59608.0,286814.0,Jim Diamond; The Korgis; Jon Secada; Peter Cetera; Ten Sharp; Christopher Cross; Paul Young; Robin Gibb; Bill Medley; Will to Power
Airbag,"Actualmente existen tres bandas con este nombre: 1. Airbag, grupo de rock progresivo formado en Oslo, Noruega. 2. Airbag, grupo español formado en 1998. 3. Airbag, grupo formado en Argentina en 1999. 1. Airbag, grupo de Rock Progresivo formado en Oslo, Noruega. Airbag es una banda de rock progresivo procedente de Oslo, Noruega fundada en el 2004 por cinco amigos de escuela y quienes compartían los mismos gustos musicales Pink Floyd, Porcupine Tree entre otras.",181106.0,8725357.0,Bjørn Riis; RPWL; The Pineapple Thief; Gazpacho; Blackfield; Lunatic Soul; Riverside; Nosound; Sylvan; Amarok
Airbourne,"Airbourne es una banda de hard rock proveniente de la ciudad australiana de Warrnambool, Victoria. Editaron su primer EP en 2004, Ready to Rock, después de conseguir una consolidada popularidad en su ciudad de origen. Un año después, en 2005, la banda consiguió un contrato de cinco álbumes con el sello Capitol Records y comenzó a telonear grupos como The Rolling Stones y Mötley Crüe, además de tocar en varios festivales de verano. En 2007, editaron su primer LP bajo el nombre de Runnin' Wild, concretamente el 23 de junio.",648710.0,16869428.0,The Lazys; Hardbone; Thundermother; Bonafide; AC/DC; The Dead Daisies; Monster Truck; The Treatment; Bullet; Slash
Ale Sergi,,1396.0,6666.0,Cachorro Lopez; Santi Celli; Benjamín Amadeo; Juan Ingaramo; El Chacal & Los Alpes Floreados; David Lebón; Natalie Perez; Paz Carrara; meteoros; lisandro skar
Alex Campos,"Cantautor Colombiano, nació en Bogotá el 10 septiembre de 1976. Asistió a la Iglesia desde muy pequeño. A la edad de 14 años forma parte de un grupo de alabanza tocando la flauta dulce. A la edad de 17 años empieza a formar Misión Vida. En 1999 graba Tiempo de la Cruz, su primera producción, realizada en vivo. En junio del 2002, Marcos Witt y su ministerio Canzion se interesan por el trabajo de Alex Campos y les ofrecen respaldo y apoyo.",34530.0,886095.0,Jesús Adrián Romero; Marcos Witt; Tercer Cielo; Rojo; Danilo Montero; Marco Barrientos; Abel Zavala; Lilly Goodman; Un Corazón; Jaime Murrell
Alice in Chains,"Alice in Chains es una banda Rock estadounidense, fundada en 1987 en Seattle, Washington. Alice in Chains se formó oficialmente cuando el cantante Layne Staley y el guitarrista Jerry Cantrell se conocieron en una fiesta y decidieron formar una banda, ya que compartían gustos musicales y habían estado tocando en bandas de glam metal(Jerry Cantrell en Diamond Dave), estilo predominante en la época. Poco después se uniría al grupo el bajista Mike Starr (bajista del grupo de Glam Gyspy Rose) y el batería Sean Kinney",3405541.0,215049453.0,Mad Season; Stone Temple Pilots; Soundgarden; Jerry Cantrell; Temple of the Dog; Pearl Jam; Mother Love Bone; Nirvana; Screaming Trees; Audioslave
All Good Things,,129794.0,1880357.0,Smash Into Pieces; Onlap; Self Deception; Ashes Remain; Fight the Fade; Written by Wolves; Thousand Foot Krutch; Citizen Soldier; Adelitas Way; Through Fire
All Them Witches,,296967.0,8200449.0,King Buffalo; Mars Red Sky; Graveyard; The Heavy Eyes; 1000mods; Colour Haze; Greenleaf; Elder; Weedpecker; Somali Yacht Club
The Allman Brothers Band,"The Allman Brothers Band es una banda de Macon, Georgia, que el Salón de la Fama del Rock( museo situado en Cleveland, Ohio, Estados Unidos dedicado al recuerdo y memoria de los artistas más famosos e influyentes implicados en la industria de la música, con especial foco en el rock and roll) describe como ""los principales arquitectos del rock sureño"". El grupo se formó en 1969 y dos años más tarde George Kimball los describió en la revista",1189159.0,18810999.0,Gov't Mule; Gregg Allman; The Marshall Tucker Band; The Derek Trucks Band; Little Feat; Tedeschi Trucks Band; Grateful Dead; Widespread Panic; Derek and the Dominos; Lynyrd Skynyrd
Alter Bridge,"Alter Bridge es una banda Norteamericana de Hard Rock, Formada en el 2004 por ex-integrantes de Creed (Mark Tremonti, Scott Phillips, Brian Marshall) y el ex-vocalista de The Mayfield Four (Myles Kennedy). Después de la separación de Creed en el 2004, Mark Tremonti (guitarrista) reunió a sus ex-compañeros de banda, Scott Phillips (baterista) y Brian Marshall (bajista). Sólo les faltaba un vocalista; para lo que Mark realizó la prueba de audición a varias personas.",1159393.0,46038106.0,Tremonti; Myles Kennedy; The Mayfield Four; Slash; Shinedown; Creed; Black Stone Cherry; Mammoth WVH; Scott Stapp; Stone Sour
Andrés Calamaro,"Andrés Calamaro (Buenos Aires - 22 de agosto de 1961), músico, compositor, intérprete y productor, considerado uno de los artistas más grandes de Argentina. Cuando Andrés cumplió 8 años pidió de regalo un acordeón, y más tarde un tambor, después de golpear los parches en casa de unos vecinos en el casco antiguo de Buenos Aires en el barrio antiguo de Once. Sin embargo, con el tiempo, se fue volcando a la guitarra eléctrica y al piano, el instrumento donde muestra mayor fluidez y versatilidad.",449587.0,17062692.0,Los Rodríguez; Intoxicados; Los Abuelos de la Nada; Fito Páez; Viejas Locas; Babasónicos; Los Piojos; Patricio Rey y sus Redonditos de Ricota; Bersuit Vergarabat; Turf
Anekdoten,"Anekdoten es una de las bandas suecas de rock de vanguardia más originales e innovadoras que han surgido en la última década. Con una estética y líricas oscuras la agrupación se ha ganado un importante espacio en el mundo del rock progresivo, siempre caracterizándose por un sonido denso y la utilización prominente del melotrón. Aunque sus influencias más profundas provienen del período temprano de King Crimson y en general del sinfónico de los 70",123363.0,2212961.0,Änglagård; Porcupine Tree; Wobbler; Gazpacho; IQ; Steven Wilson; Phideaux; Lunatic Soul; The Pineapple Thief; Sylvan
ANITA LUCIA PROAÑO,,100.0,608.0,
Anitta,"Larissa de Macedo Machado Magalhães (Rio de Janeiro, 30 de marzo de 1993), conocida por su nombre artístico Anitta es una cantante, compositora, actriz, bailarina y productora brasileña. Anitta es manejada por John Shahidi de Shots Studios, una compañía con sede en los Estados Unidos respaldada por Justin Bieber. Anitta comenzó a cantar a los 8 años en un coro de una iglesia católica en el barrio de Honório Gurgel en Río de Janeiro. A los 16 años de edad asistió a una escuela técnica y fue llamada para trabajar en Vale.",1186459.0,152545602.0,Luísa Sonza; PEDRO SAMPAIO; Lexa; Pabllo Vittar; POCAH; Gloria Groove; Zaac; LUDMILLA; Lia Clark; Hitmaker
Anna Calvi,"Anna Calvi la nueva promesa de 2011 según la BBC, que eligió a la italo-inglesa en su lista Top 15 “Nuevos artistas más prometedores de 2011” Nació y creció en Londres. Su padre es italiano, de ahí su apellido y gran parte de sus primeras influencias musicales Anna Calvi comenzó su carrera en el trío londinense Cheap Hotel, hasta que en 2008 decidió cantar y tocar la guitarra por su cuenta. Con una voz realmente peculiar, el pasado",311562.0,5744675.0,Nadine Shah; Bat for Lashes; PJ Harvey; Joan as Police Woman; Scout Niblett; St. Vincent; John Parish and Polly Jean Harvey; My Brightest Diamond; Martha Wainwright; Shannon Wright
Antonio Birabent,"Su trayectoria se ha consolidado en diferentes campos artísticos y expresivos, pero la música y las palabras siempre han sido su base. Desde la grabación de su primer disco en 1993 hasta el 2008 ha compuesto, producido y registrado diez discos. En el año 1990 formó parte de la banda de su padre, Moris, como guitarrista, y posteriormente inició su carrera solista (su caso es prácticamente excepcional en el rock argentino ya que nunca tuvo un grupo con el que llegara a ser conocido; siempre se mostró únicamente como solista)",4991.0,73778.0,Ulises Butrón; Fernando Barrientos; Francisco Bochatón; JAF; Ivan Noble; Bicicletas; Coiffeur; Rosal; Hilda Lizarazu; Cuentos Borgeanos
Arcade Fire,"Arcade Fire es un grupo originario de Montreal, Quebec, Canadá. El grupo está compuesto por Win Butler, Régine Chassagne, Richard Reed Parry, William Butler, Tim Kingsbury, Sarah Neufeld, Jeremy Gara y la violinista Marika Anthony-Shaw. La banda posee un reconocido status mundial dentro de la industria musical, convirtiendo su trabajo en uno de los parámetros más altos e influyentes que se hayan visto dentro de la última época. La crítica internacional los ha declarado, sin vacilación, como la primer gran banda del siglo XXI.",3094282.0,224061880.0,The National; Vampire Weekend; The Shins; Wolf Parade; Spoon; Yeah Yeah Yeahs; The War on Drugs; Clap Your Hands Say Yeah; Matt Berninger; Kings of Leon
Arctic Monkeys,"Arctic Monkeys es una banda inglesa de rock alternativo e indie rock proveniente de High Green, un suburbio en las afueras de Sheffield, Inglaterra. Formada en 2002, la banda actualmente está compuesta por el vocalista, guitarrista y compositor principal, Alex Turner, el guitarrista Jamie Cook, el baterista Matt Helders y Nick O'Malley en el bajo, una posición anteriormente ocupada por Andy Nicholson. Arctic Monkeys logró popularidad en las listas con su sencillo debut I Bet You Look Good on the Dancefloor",7005574.0,916190491.0,The Last Shadow Puppets; Alex Turner; Miles Kane and the Death Ramps; Miles Kane; The Strokes; The Fratellis; Alexandra Savior; Cage the Elephant; The Neighbourhood; Catfish and the Bottlemen
Asking Alexandria,"Asking Alexandria es una banda británica de Metalcore formada por el guitarrista Ben Bruce, Cameron Liddell, Sam Bettley y James Cassells. Su origen se encuentra en Dubái, Emiratos Árabes Unidos , cuando en 2003, Ben Bruce formó una banda llamada Amongst Us, luego rebautizada como End of Reason y finalmente, en 2006, como Asking Alexandria. Cuando Bruce regresó a Nottingham, Inglaterra, la banda se disolvió, y en 2008 formó una nueva agrupación con el mismo nombre.",975473.0,68972096.0,Of Mice & Men; Crown the Empire; Memphis May Fire; I See Stars; Attack Attack!; We Came as Romans; Blessthefall; Motionless in White; Bring Me the Horizon; Escape The Fate
Autocontrol,"Existen varias bandas con en el mismo nombre: 1) EL COMIENZO DE LA ESCENA STRAIGHT EDGE EN BUENOS AIRES. El 28 de Noviembre de 1993 fue la 1º vez que me subí a un escenario como cantante. Si esto les parece pretencioso, mucho mas les va a parecer lo que les voy a decir, ya que para mí en esa fecha se empezó a gestar la escena SXE de Buenos Aires. Si bien es cierto que ya existían otras personas y bandas SXE en Bs. As, creo que recién a partir de ahí todo empezó a organizarse.",9695.0,77574.0,"Los Mojarras; Nosequien y los Nosecuantos; Frágil; Sangre Púrpura; Diego Bertie; El lobo y la sociedad privada; Cuchillazo; Cementerio Club; Arturo ""Zambo"" Cavero; X Dinero"
Avenged Sevenfold,"Avenged Sevenfold (a veces escrito A7X) es una banda originaria de Huntington Beach, California, EE. UU. Sus integrantes son M. Shadows, Zacky Vengeance, Synyster Gates, Johnny Christ y The Rev. Biografía Formación y primeros años (1999-2004) La banda fue formada en 1999 en Huntington Beach, California, con los miembros originales: M. Shadows, Zacky Vengeance, The Rev y Matt Wendt. Shadows dijo que el el nombre de la banda hace referencia a la historia bíblica de Caín y Abel",2838810.0,227549991.0,Bullet for My Valentine; Trivium; Atreyu; Slipknot; Three Days Grace; Alter Bridge; Stone Sour; System of a Down; Killswitch Engage; Metallica
Axton,,430.0,2754.0,Strana Officina; X-Wild; Railway; Randy Piper's Animal; Skanners; Vanexa; Hocculta; Wise Man; Rising Power; Gun Barrel
B.P.M. System,,1415.0,6776.0,Lady Gee; Kike Boy; Kryss; New Limit; Interfront; Anti-Funky; ACTV; Cabballero; Jerry Daley; The Bad Yard Club
BABYMETAL,"Babymetal (ベビーメタル Bebīmetaru?) (estilizado como BABYMETAL) es una banda de Kawaii Metal, caracterizado con cantos y bailes dentro del Heavy Metal fusionado con el J-Pop. Dentro de su sonido también se pueden encontrar ritmos característicos que van desde el Blackened hasta el Dusbtep. La banda es originaria de Japón. Actualmente la banda es producida por la agencia Amuse Inc. La banda fue fundada en 2010 como un subgrupo del grupo de idols Sakura Gakuin.",935183.0,56556935.0,Ladybaby; HANABIE.; BAND-MAID; PassCode; Broken By The Scream; ATARASHII GAKKO!; 二口魔菜 Futakuchi Mana; KAQRIYOTERROR; Phantom Siita; BABYMETAL & Electric Callboy
