artist_name,similar_artist_name
EXID,AOA
EXID,SISTAR
EXID,CLC
EXID,Girl's Day
EXID,4minute
George Ezra,Vance Joy
George Ezra,James Bay
George Ezra,Tom Grennan
George Ezra,Olly Murs
George Ezra,Andy Grammer
David Barrull,India Martinez
David Barrull,Nolasco
David Barrull,Sarayma
David Barrull,Canelita
David Barrull,Rasel
Mr Jones Machine,Sista mannen på jorden
Mr Jones Machine,Statemachine
Mr Jones Machine,The Mobile Homes
Mr Jones Machine,Children Within
Mr Jones Machine,Univaque
Chris Brown,Chris Brown & Tyga
Chris Brown,Trey Songz
Chris Brown,August Alsina
Chris Brown,Usher
Chris Brown,Omarion
Antônio Carlos Jobim,João Gilberto
Antônio Carlos Jobim,João Donato
Antônio Carlos Jobim,Roberto Menescal E Seu Conjunto
Antônio Carlos Jobim,Baden Powell
Antônio Carlos Jobim,Astrud Gilberto
Bogdan Artistu,Vali Vijelie
Bogdan Artistu,Cristi Dules
Bogdan Artistu,Liviu Guta
Bogdan Artistu,Babi Minune
Bogdan Artistu,Bogdan DLP
Ane Brun,Sophie Zelmani
Ane Brun,Kari Bremnes
Ane Brun,Fink
Ane Brun,Anna Ternheim
Ane Brun,Christel Alsos
Moana,Slow Bleeding
Moana,Pray For Mercy
Moana,Colwire
Moana,A Última Theoria
Moana,Every Man is An Island
Aimer,ReoNa
Aimer,Uru
Aimer,SawanoHiroyuki[nZk]:Aimer
Aimer,Milet
Aimer,SawanoHiroyuki[nZk]
Junco,Tijeritas
Junco,Canelita
Junco,José El Francés
Junco,Parrita
Junco,EL PELOS
Herencia de Timbiqui,Grupo Bahia
Herencia de Timbiqui,Puerto Candelaria
Herencia de Timbiqui,César Mora
Herencia de Timbiqui,Maía
Herencia de Timbiqui,Grupo Saboreo
Christina Aguilera,Britney Spears
Christina Aguilera,Jennifer Lopez
Christina Aguilera,The Pussycat Dolls
Christina Aguilera,Jessica Simpson
Christina Aguilera,Mariah Carey
Future,Young Thug
Future,DJ Esco
Future,Gunna
Future,Lil Baby
Future,21 Savage
T-Pain,Bow Wow
T-Pain,Baby Bash
T-Pain,Jamie Foxx
T-Pain,Trey Songz
T-Pain,Plies
Kamembert,Brighton 64
Kamembert,kamenbert
Kamembert,Los Negativos
Kamembert,Los Elegantes
Kamembert,Kristallin & Michele Bernard
Childish Gambino,"Tyler, The Creator"
Childish Gambino,Chance the Rapper
Childish Gambino,Vince Staples
Childish Gambino,Kid Cudi
Childish Gambino,Mac Miller
El biri,aldeskuido
El biri,El Suso
El biri,Cherezade
El biri,Sonsonete
El biri,Bernardo Vazquez
Birdman,Lil' Wayne
Birdman,YoungBoy Never Broke Again
Birdman,Birdman & Lil' Wayne
Birdman,Young Money
Birdman,Rick Ross
Olly Murs,Gary Barlow
Olly Murs,JLS
Olly Murs,Take That
Olly Murs,Ella Henderson
Olly Murs,Tom Grennan
Saad Lamjarred,Zouhair Bahaoui
Saad Lamjarred,Nancy Ajram
Saad Lamjarred,Hussain Al Jassmi
Saad Lamjarred,Myriam Fares
Saad Lamjarred,Mohamed Hamaki
Sam Smith,Adele
Sam Smith,James Arthur
Sam Smith,Calum Scott
Sam Smith,Jessie J
Sam Smith,Sam Fischer
Chino & Nacho,Joey Montana
Chino & Nacho,Daddy Yankee
Chino & Nacho,Piso 21
Chino & Nacho,Cali & El Dandee
Chino & Nacho,Angel y Khriz
Girl's Day,SISTAR
Girl's Day,AOA
Girl's Day,miss A
Girl's Day,Kara
Girl's Day,HELLO VENUS
Matisse,Zoé
Matisse,Kinky
Matisse,Jesse & Joy
Matisse,Reik
Matisse,Ha*Ash
Bossa Curve,Veer Glider
Bossa Curve,Claudia Rezende
Bossa Curve,Alana Marie
Bossa Curve,Bossanatics
Bossa Curve,BossArt Ensemble
Miley Cyrus,Hannah Montana
Miley Cyrus,Demi Lovato
Miley Cyrus,Selena Gomez
Miley Cyrus,Ke$ha
Miley Cyrus,Selena Gomez & the Scene
Bigal & L Jake,Lil Silvio & El Vega
Bigal & L Jake,Donny Caballero
Bigal & L Jake,Rocko y Blasty
Bigal & L Jake,El Vega
Bigal & L Jake,Los 4
Tom Boxer,DJ Project
Tom Boxer,DJ Sava
Tom Boxer,Akcent
Tom Boxer,Andreea Banica
Tom Boxer,Inna
Pitbull,Flo Rida
Pitbull,LMFAO
Pitbull,will.i.am
Pitbull,Far East Movement
Pitbull,Black Eyed Peas
Franco Sattamini,Lady Monarda
Franco Sattamini,Beatriz e Lucas
Franco Sattamini,A Beira Mar
Franco Sattamini,Trio Musical
Franco Sattamini,Hot Spot Band
Renee Olstead,Laura Fygi
Renee Olstead,Sophie Milman
Renee Olstead,Jane Monheit
Renee Olstead,Chantal Chamberland
Renee Olstead,Stacey Kent
Psy,Agust D
Psy,이소라
Psy,태양
Psy,j-hope
Psy,BTS
Vinícius,J. Pereira
Vinícius,Jorge Ben & Toquinho
Vinícius,Quarteto do Rio
Vinícius,Odette Lara
Vinícius,ジョアン・ジルベルト
Robin McKelle & The Flytones,Kat Eaton
Robin McKelle & The Flytones,Anthony Strong
Robin McKelle & The Flytones,Kellylee Evans
Robin McKelle & The Flytones,Ntjam Rosie
Robin McKelle & The Flytones,Dana Masters
Squeeze,Elvis Costello & The Attractions
Squeeze,Joe Jackson
Squeeze,Elvis Costello
Squeeze,Nick Lowe
Squeeze,Marshall Crenshaw
Estopa,Melendi
Estopa,El Canto del Loco
Estopa,Extremoduro
Estopa,Pereza
Estopa,Amaral
