artist_name,similar_artist_name,rank
2 In A Room,49ers,1
2 In A Room,Black Box,2
2 In A Room,Technotronic,3
2 In A Room,Adamski,4
2 In A Room,Snap!,5
B.P.M. System,Lady Gee,1
B.P.M. System,Kike Boy,2
B.P.M. System,Kryss,3
B.P.M. System,New Limit,4
B.P.M. System,Interfront,5
Brian Cross,DJ Nano,1
Brian Cross,Dani Moreno,2
Brian Cross,Jose AM,3
Brian Cross,Wally Lopez,4
Brian Cross,Geo Da Silva & Saftik,5
Crossfire,Atomkraft,1
Crossfire,Abattoir,2
Crossfire,Iron Angel,3
Crossfire,Agent Steel,4
Crossfire,Ostrogoth,5
Don Latino,Croni-K,1
Don Latino,Fraag Malas,2
Don Latino,Yulien Oviedo,3
Don Latino,Jay Santos,4
Don Latino,Gocho,5
Fiesta pop,The Refrescos,1
Fiesta pop,Los Inhumanos,2
Fiesta pop,Alarma,3
Fiesta pop,Los Rebeldes,4
Fiesta pop,David Otero,5
Freeway,Memphis Bleek,1
Freeway,Beanie Sigel,2
Freeway,Cam'ron,3
Freeway,Jadakiss,4
Freeway,Juelz Santana,5
Generis,New Limit,1
Generis,Aldus Haza,2
Generis,Committe,3
Generis,Kike Boy,4
Generis,Emotional G,5
Hanson,Aaron Carter,1
Hanson,Backstreet Boys,2
Hanson,O-Town,3
Hanson,Nick Carter,4
Hanson,98 Degrees,5
High Density,Nacho Division,1
High Density,Aldus Haza,2
High Density,K.R.B.,3
High Density,PG2,4
High Density,Vatios,5
Iggy Pop,The Stooges,1
Iggy Pop,Iggy Pop & James Williamson,2
Iggy Pop,Lou Reed,3
Iggy Pop,David Bowie,4
Iggy Pop,Patti Smith,5
Jerry Daley,Sensity World,1
Jerry Daley,New Limit,2
Jerry Daley,Piropo,3
Jerry Daley,Kryss,4
Jerry Daley,ACTV,5
Just Blaze,Ski Beatz,1
Just Blaze,Khrysis,2
Just Blaze,Nottz,3
Just Blaze,Kidz in the Hall,4
Just Blaze,Johnson&Jonson,5
Kamembert,Brighton 64,1
Kamembert,kamenbert,2
Kamembert,Los Negativos,3
Kamembert,Los Elegantes,4
Kamembert,Kristallin & Michele Bernard,5
Kike Boy,B.P.M. System,1
Kike Boy,Sensity World,2
Kike Boy,Piropo,3
Kike Boy,New Limit,4
Kike Boy,ACTV,5
Korpus,Super Box,1
Korpus,Azzaron,2
Korpus,Grzegorz Kupczyk,3
Korpus,Open Fire,4
Korpus,Lord Vader,5
Kriss,Kriss Cologne,1
Kriss,Burger,2
Kriss,Spieltrieb,3
Kriss,Strom & Wasser,4
Kriss,Unkraut Liedermacher,5
Kryss,New Limit,1
Kryss,Sensity World,2
Kryss,DJ Sylvan,3
Kryss,Piropo,4
Kryss,Jerry Daley,5
Los Flechazos,Cooper,1
Los Flechazos,Brighton 64,2
Los Flechazos,la granja,3
Los Flechazos,La Costa Brava,4
Los Flechazos,Surfin' Bichos,5
McFly,McBusted,1
McFly,Busted,2
McFly,Jonas Brothers,3
McFly,Scouting for Girls,4
McFly,The Vamps,5
Megabass,Two Little Boys,1
Megabass,Nacho Division,2
Megabass,High Density,3
Megabass,Smart E's,4
Megabass,The Hypnotist,5
Memphis Bleek,Freeway,1
Memphis Bleek,Beanie Sigel,2
Memphis Bleek,Jadakiss,3
Memphis Bleek,Cam'ron,4
Memphis Bleek,Juelz Santana,5
Midiland,EI8HT a Offset,1
Midiland,René de Wael,2
Midiland,Mark Sandell & Neil Watson,3
Midiland,Mighty Monster,4
Midiland,Masego a Don Toliver,5
Omega,Ken Hensley,1
Omega,Uriah Heep,2
Omega,Czesław Niemen,3
Omega,Manfred Mann's Earth Band,4
Omega,SBB,5
Peter Polycarpou,Original London Cast,1
Peter Polycarpou,Roger Allam,2
Peter Polycarpou,Gavin Creel,3
Peter Polycarpou,Brent Carver,4
Peter Polycarpou,Les Misérables: International Cast,5
Squeeze,Elvis Costello & The Attractions,1
Squeeze,Elvis Costello,2
Squeeze,Joe Jackson,3
Squeeze,Marshall Crenshaw,4
Squeeze,Nick Lowe,5
Tess,Adept,1
Tess,A Static Lullaby,2
Tess,Eyes Set to Kill,3
Tess,Envy,4
Tess,Funeral For A Friend,5
The Nativos,Pistones,1
The Nativos,Glutamato Ye-Ye,2
The Nativos,La Dama Se Esconde,3
The Nativos,Rey Lui,4
The Nativos,La Coartada,5
The Style Council,The Jam,1
The Style Council,Paul Weller,2
The Style Council,Aztec Camera,3
The Style Council,The Blow Monkeys,4
The Style Council,Prefab Sprout,5
