artist_name,bio,listeners,playcount,similar_artists
Agujetas Chico,,61.0,430.0,"Manuel Parrilla; Los Moneo; Momo de Jerez; jesús méndez; Periquín ""Niño Jero""; Antonio Reyes; Carlos Grilo; Joselito Acedo; Juan Moneo 'El Torta'; Moraíto"
Alazan,,3233.0,15373.0,La Húngara; Selena Leo; Raya Real; Dani Mata; Decai; Merche; Roser; David Civera; María Peláe; Salao
Andres Fernandez Amador,,10394.0,37627.0,Rafa El Tachuela; Dani de Morón; Juan Manuel Cañizares; Moraíto; Pepe Habichuela; Ricardo Modrego; Antonio Rey; Ruben Romero; Juan Martin; Gerardo Nuñez
Andrés Hernández Pituquete,,57.0,522.0,Moraíto; Rafael Riqueni; Manolo Sanlucar; Juan Manuel Cañizares; Son De La Frontera; Israel Fernández; Pepe Habichuela; Diego Del Morao; Encarna Anillo; Gerardo Nuñez
Angelillo,"Ángel Sampedro Montero (Madrid, 12 de enero de 1908-Buenos Aires, Argentina 24 de noviembre de 1973) conocido artísticamente como Angelillo, fue un cantante de coplas muy popular en su época. Cantó un estilo de flamenco muy particular, superficial y edulcorado, junto con coplas aflamencadas, y aunque fue muy popular en su época no se le considera por los entendidos como cantaor de flamenco, aunque cantó fandangos, cantes de ida y vuelta, soleares",2582.0,12602.0,Gracia de Triana; Rafael Farina; Pepe Pinto; Canalejas de Puerto Real; Tomás Pavón; Juanito Valderrama; Pepe Blanco; Manolo el Malagueño; Pepe Marchena; Juanito Varea
Antonio Reyes,"Antonio Reyes Montoya nació en Chiclana de la Frontera, Cádiz en 1976. Pertenece a una buena dinastía flamenca, ya que está emparentado con Roque Montoya ""Jarrito"", y Antonio tío y abuelo materno respectivamente, además de guardar parentesco paterno con José Cortés Jiménez, conocido como "" Pansequito"". Su padre, desde niño, le hacía escuchar a Antonio Mairena, lo que explica que debutara a los seis años de edad en Ojén, para más tarde",3303.0,14646.0,Diego Del Morao; José del Tomate; El Pele; Moraíto; Daniel Casares; jesús méndez; Pepe Habichuela; Israel Fernández; rancapino chico; Pedro Sierra
Antoñita Moreno,,4644.0,17379.0,Gracia de Triana; Raquel Meller; Lupita Palomera; Lolita Sevilla; Paquita Rico; Juanita Reina; Pepe Blanco; Pedro Miguel Y Sus Maracaibos; Estrellita Castro; Imperio Argentina
Antoñita Peñuela,,3741.0,19581.0,Perlita de Huelva; Lolita Sevilla; Gracia Montes; Juanita Reina; Carmen Sevilla; Marifé De Triana; Estrellita Castro; Imperio Argentina; Juanito Valderrama; Miguel De Molina
Camarón de la Isla,"Camarón de la Isla (San Fernando (Cádiz), 5 de diciembre de 1950 - Badalona, 2 de julio de 1992) es el nombre artístico de José Monje Cruz, cantaor flamenco andaluz, hijo de Juana Cruz y Juan Luis Monje Núñez. Su apodo se lo puso su tío José, por su delgadez y su pelo rubio y piel blanca, que en su opinión le hacían parecer un camarón. Murió a los 41 años, víctima de un cáncer de pulmón. Biografía Camarón fue el sexto de ocho hermanos.",70358.0,704756.0,Paco de Lucía; Enrique Morente; Lole Y Manuel; Manzanita; Estrella Morente; Pata Negra; Tomatito; Niña Pastori; Vicente Amigo; Diego El Cigala
Camela,"Camela es un grupo musical español conformado por 3 integrantes: Ángeles y Dioni (voces), y Miguel Ángel (teclados). Todo empezó en San Cristóbal de los Angeles, una barriada de Madrid, donde tres amigos (Ángeles, Dioni y Miguel Ángel) tenían una afición en común: la música. Es por ello que cuando tenían algo de tiempo libre se reunían para tocar, cantar y bailar. Sin cazatalentos ni sellos discográficos que les ofrecieran un contrato maravilloso, contando sólo con sus ahorros, se fueron a un centro de grabación.",59146.0,695920.0,Estopa; Andy & Lucas; El Arrebato; Melendi; El Canto del Loco; Dani Martín; La Guardia; Rosario; Antonio Orozco; Café Quijano
