artist_name,similar_artist_name,rank
Agujetas Chico,Manuel Parrilla,1
Agujetas Chico,Los Moneo,2
Agujetas Chico,Momo de Jerez,3
Agujetas Chico,jesús méndez,4
Agujetas Chico,"Periquín ""Niño Jero""",5
Alazan,La Húngara,1
Alazan,Selena Leo,2
Alazan,Raya Real,3
Alazan,Dani Mata,4
Alazan,Decai,5
Andres Fernandez Amador,Rafa El Tachuela,1
Andres Fernandez Amador,Dani de Morón,2
Andres Fernandez Amador,Juan Manuel Cañizares,3
Andres Fernandez Amador,Moraíto,4
Andres Fernandez Amador,Pepe Habichuela,5
Andrés Hernández Pituquete,Moraíto,1
Andrés Hernández Pituquete,Rafael Riqueni,2
Andrés Hernández Pituquete,Manolo Sanlucar,3
Andrés Hernández Pituquete,Juan Manuel Cañizares,4
Andrés Hernández Pituquete,Son De La Frontera,5
Angelillo,Gracia de Triana,1
Angelillo,Rafael Farina,2
Angelillo,Pepe Pinto,3
Angelillo,Canalejas de Puerto Real,4
Angelillo,Tomás Pavón,5
Antonio Reyes,Diego Del Morao,1
Antonio Reyes,José del Tomate,2
Antonio Reyes,El Pele,3
Antonio Reyes,Moraíto,4
Antonio Reyes,Daniel Casares,5
Antoñita Moreno,Gracia de Triana,1
Antoñita Moreno,Raquel Meller,2
Antoñita Moreno,Lupita Palomera,3
Antoñita Moreno,Lolita Sevilla,4
Antoñita Moreno,Paquita Rico,5
Antoñita Peñuela,Perlita de Huelva,1
Antoñita Peñuela,Lolita Sevilla,2
Antoñita Peñuela,Gracia Montes,3
Antoñita Peñuela,Juanita Reina,4
Antoñita Peñuela,Carmen Sevilla,5
Camarón de la Isla,Paco de Lucía,1
Camarón de la Isla,Enrique Morente,2
Camarón de la Isla,Lole Y Manuel,3
Camarón de la Isla,Manzanita,4
Camarón de la Isla,Estrella Morente,5
Camela,Estopa,1
Camela,Andy & Lucas,2
Camela,El Arrebato,3
Camela,Melendi,4
Camela,El Canto del Loco,5
Canteca De Macao,El Puchero del Hortelano,1
Canteca De Macao,La Kinky Beat,2
Canteca De Macao,G5,3
Canteca De Macao,D'Callaos,4
Canteca De Macao,Mártires Del Compás,5
Carlos Montoya,Paco Peña,1
Carlos Montoya,Lara & Reyes,2
Carlos Montoya,Benise,3
Carlos Montoya,Oscar Lopez,4
Carlos Montoya,NOVAMENCO,5
Chano Domínguez,Jorge Pardo,1
Chano Domínguez,Guillermo McGill,2
Chano Domínguez,Javier Colina,3
Chano Domínguez,Diego Amador,4
Chano Domínguez,Martirio,5
Cherokee,Kartell,1
Cherokee,Jean Tonique,2
Cherokee,Louis La Roche,3
Cherokee,Folamour,4
Cherokee,The Phantom's Revenge,5
David DeMaría,Diego Martín,1
David DeMaría,Merche,2
David DeMaría,David Bustamante,3
David DeMaría,David Civera,4
David DeMaría,Kiko & Shara,5
Diego Castellon,Encarnación Marín La Sallago,1
Diego Castellon,Juan Pena,2
Diego Castellon,Enrique el Piculabe,3
Diego Castellon,Dorantes,4
Diego Castellon,Stéphane Grappelli;Django Reinhardt,5
Diego Del Morao,Moraíto,1
Diego Del Morao,Antonio Rey,2
Diego Del Morao,Pedro Sierra,3
Diego Del Morao,Dani de Morón,4
Diego Del Morao,Daniel Casares,5
El Loreño,niño del mellizo,1
El Loreño,pepe huelva,2
El Loreño,Chiquito de Osuna,3
El Loreño,Juan de la Villa,4
El Loreño,La Paquera de Jerez,5
Electro Rumbaiao,Uproot Andy,1
Electro Rumbaiao,Skip & Die,2
Electro Rumbaiao,History of Colour,3
Encarna Anillo,Miguel Poveda,1
Encarna Anillo,Marina Heredia,2
Encarna Anillo,Mayte Martín,3
Encarna Anillo,Carmen Linares,4
Encarna Anillo,David Lagos,5
Enrique Heredia Negri,Antonio Carmona,1
Enrique Heredia Negri,La Barbería del Sur,2
Enrique Heredia Negri,Miguel Poveda,3
Enrique Heredia Negri,Israel Fernández,4
Enrique Heredia Negri,Alba Molina,5
