nombre,listeners,playcount,similares,bio
Patrick Watson,1666100,36042958,"Tom Rosenthal, Winter Aid, SYML, RY X, Tom Odell","Patrick Watson (born 1979 in Montreal, Quebec, Canada) is a Canadian singer-songwriter, whose blend of cabaret pop and classical music influences with indie rock has been compared to Rufus Wainwright, Jeff Buckley and Andrew Bird.

Singing in the local church choirs as a boy, studying jazz and classical piano performance, composition, and arrangement, and singing and playing keyboards in the ska band Gangster Politics in high school. Watson left the band after graduating and began to explore other types of music <a href=""https://www.last.fm/music/Patrick+Watson"">Read more on Last.fm</a>"
,,,,
The Palms,171367,1430284,"Foreign Air, Dennis Lloyd, Matt Maeson, Elijah Blond, Tash Sultana","With hints of West Coast Psychedelia, Hip Hop, Folk and more, The Palms have effortlessly combined their love of ALL popular music to create a fresh, uplifting sound, resulting in the perfect soundtrack to a summer night in Los Angeles. The need to makemusic without barriers or inhibitions is what initially inspired Johnny Zambetti and Ben Rothbard to explore artistic ideas outside of their band Terraplane Sun. Before they knew it, The Palms were born.  <a href=""https://www.last.fm/music/The+Palms"">Read more on Last.fm</a>"
Passenger,1807254,36599378,"Stu Larsen, James Bay, Mighty Oaks, Mumford & Sons, Vance Joy","There are at least six artists and bands who have performed with the name ""Passenger"". The following order is loosely based on the last.fm statistics.

1. A Brighton (UK) based alternative folk band 
2. A Swedish alternative metal band including members of In 
Flames. Now filed under Passenger (SWE).
3. A San José, Costa Rica hardcore/screamo band.
4. A Mesa, Arizona based acoustic rock band.
5. A rap artist from Texas.
6. An old alias of DJ Tiësto. <a href=""https://www.last.fm/music/Passenger"">Read more on Last.fm</a>"
Tamaryn,414745,5812855,"Blouse, Pinkshinyultrablast, The Daysleepers, Ringo Deathstarr, No Joy","Tamaryn is a dream pop/shoegaze/synthpop project based in Half Moon Bay, California. It was originally formed in 2008 as a duo consisting of New Zealand singer-songwriter Tamaryn Brown and Rex John Shelverton. With Rex John Shelverton leaving in 2013, Tamaryn became a solo project. <a href=""https://www.last.fm/music/Tamaryn"">Read more on Last.fm</a>"
The Presets,728895,16059794,"Sneaky Sound System, PNAU, Art vs. Science, Cut Copy, Midnight Juggernauts","The Presets are Julian Hamilton(keyboard and vocals) and Kim Moyes (drums and keyboard). They are an electronic two piece from Sydney, Australia who met when they were both members of Prop. Hamilton and Moyes broke off from Prop in 2003, when they remixed a track, ""Magnetic Highway"", with ""harder electronic edges"" under the name The Presets. 

The Presets have been one of the biggest indie bands for the past few years in Australia, touring with and supporting many well known bands such as Daft Punk, 2 Many DJ's and Ladytron. <a href=""https://www.last.fm/music/The+Presets"">Read more on Last.fm</a>"
Good Morning,769098,13811266,"LOVING, HOMESHAKE, Brad stank, Banes World, Cosmo Pyke","Good Morning are a recording project from Melbourne, Australia, led by Stefan Blair and Liam Parsons. The two met in high school and have been writing songs ever since. In 2013, they went halvies in a Foxtex 4 track tape machine; Good Morning is the result of that investment. They have released two EPs, 2014's Shawcross and 2016's Glory. In 2018 their debut LP Prize // Reward was released via Bedroom Suck Records; the band followed that up with 2019's The Option <a href=""https://www.last.fm/music/Good+Morning"">Read more on Last.fm</a>"
Zak Abel,160007,1334697,"Sandro Cavazza, John Newman, Avicii, Kwabs, JP Cooper","Zak Abel (born 1 March 1995) is a Moroccan-English singer, songwriter and musician. He has also been an English Cadet national table tennis champion.

He started to write song at around age of 14. At the age of 15 he had to chose between table tennis and music and he chose music. He lists Michael Jackson as one his biggest influences and funk and soul as the genres he got accustomed to listen when growing up. As modern day artists he likes Paolo Nutini and Maverick Sabre. <a href=""https://www.last.fm/music/Zak+Abel"">Read more on Last.fm</a>"
Kazy Lambist,189604,2163050,"Kid Francescoli, Camel Power Club, Jabberwocky, Synapson, Møme","We don't need to introduce Kazy Lambist anymore... His elegant electro-pop will melt any soul and his tracks "" On You "", "" Doing Yoga "" or "" Be Yourself "" will make you dance without any fuss. Some qualifiers to define his music: soaring, dreamy, tropical, solar, chill-wave... No marked path with him, except a refusal of the repetition and the infinite loop.

Recently settled in Rome, Kazy Lambist - accompanied by the Italian Tutti Fenomeni - immerses us, with his last single ""Nasty"", in an Italian atmosphere which is his own. <a href=""https://www.last.fm/music/Kazy+Lambist"">Read more on Last.fm</a>"
Squeeze,710679,9344907,"Elvis Costello & The Attractions, Joe Jackson, Elvis Costello, Nick Lowe, Marshall Crenshaw","Squeeze are an English pop rock band  formed in London, England in 1974. The band was formed by songwriters Glenn Tilbrook (vocals, guitar) and Chris Difford (guitar, vocals) who have been the group's only constant members since the band's formation (with the exception of Difford's hiatus from the band in 1999). Aside from Difford and Tilbrook, the band currently consists of Stephen Large (keyboards), Lucy Shaw (bass) and Simon Hanson (drums).

The group initially split in 1982, but reunited in 1985 until splitting once more in 1999. <a href=""https://www.last.fm/music/Squeeze"">Read more on Last.fm</a>"
Lena Carrilero,936,6602,"Fran Mariscal, Adriana Moragues, Road Ramos, Kutxi Romero, Pedro Pastor"," <a href=""https://www.last.fm/music/Lena+Carrilero"">Read more on Last.fm</a>"
Rosana,253322,2191004,"Ella Baila Sola, Ana Belén, Deborah Blando, La Oreja de Van Gogh, Diego Torres","There are two artists by the name of Rosana.

Rosana Arbelo was born in Lanzarote in the Spanish Canary Islands off the northwestern coast of Africa. At age 20, she moved to Madrid where she studied music and guitar.
In 1994, a song she composed won first prize at the Festival de Benidorm. From then on her compositions started to interest many other artists.
In 1996, Rosana decided to start singing her own songs and released her first album, Lunas Rotas. <a href=""https://www.last.fm/music/Rosana"">Read more on Last.fm</a>"
Nick Mulvey,440756,6852125,"Blanco White, Roo Panes, Ben Howard, Charlie Cunningham, Dekker","Nick Mulvey (1984) is an English musician, singer-songwriter and founder member of 2008 Mercury Prize nominated band Portico Quartet.

At the age of 19, Nick moved to Havana, Cuba to study music and art. On returning to the UK, Nick enrolled at the University of London's School of Oriental and African Studies to study Ethnomusicology.  In 2011, he left Portico Quartet to pursue his career as a solo singer-songwriter .

He released two EPs, The Trellis (Communion Records 2012) and Fever to the Form (Communion Records 2013) <a href=""https://www.last.fm/music/Nick+Mulvey"">Read more on Last.fm</a>"
Ben Howard,1303998,47607718,"Nick Mulvey, Benjamin Francis Leftwich, Bear's Den, James Vincent McMorrow, A Blaze Of Feather","Ben Howard (born 24 April 1987) is an English singer-songwriter, born in London. He moved to Totnes, Devon, in his teens. Howard's musically-inclined parents exposed him at a young age to their favourite records from singer-songwriter artists such as Bob Dylan, Nina Simone and John Martyn.  Howard began writing his own songs and after a short spell studying journalism, he decided in 2009 at the age of 21 to become a full-time musician. 

After building up a reputation with his gigs across the UK <a href=""https://www.last.fm/music/Ben+Howard"">Read more on Last.fm</a>"
Emilio José,13757,215144,"Marcelo Criminal, Ataque Escampe, Juan Pardo, Andrés Do Barro, GRANDE AMORE","There are two artists under the name Emilio José:

1) The one from Apeiron who made his debut solo with a double CD called “Chorando Apréndese"" in 2009 and it was edited by the spanish label Foehn Records.

http://www.myspace.com/singstaralone

2) Emilio José, spanish singer born in Fernán Núñez (Córdoba). IN the 1973 he wins the Benidorm Festival with the song ""Soledad"".

Discography:
«Campo herido» (1972) 
«Soledad» (1973) 
«Por un adiós» (1974)  <a href=""https://www.last.fm/music/+noredirect/Emilio+Jos%C3%A9"">Read more on Last.fm</a>"
Fran Mariscal,1644,12527,"Lena Carrilero, Capitán Cobarde, cobardes, Héroes 2020, Embusteros"," <a href=""https://www.last.fm/music/Fran+Mariscal"">Read more on Last.fm</a>"
Takuya Kuroda,137693,1231004,"Yussef Dayes, Erik Truffaz, Alfa Mist, Butcher Brown, Roy Hargrove","Jazz trumpeter Takuya Kuroda is a forward-thinking musician with a bent toward mixing post-bop and adventurous soul-jazz. Born in Kobe, Japan, Kuroda followed his older trombonist brother into the local music scene, playing in big bands. After studying music in Japan, Kuroda relocated to Boston to attend the Berklee College of Music. While at Berklee, Kuroda befriended upcoming jazz vocalist José James, who invited Kuroda to record with him. Kuroda appeared on James' 2010 sophomore album <a href=""https://www.last.fm/music/Takuya+Kuroda"">Read more on Last.fm</a>"
"Canovas, Rodrigo, Adolfo Y Guzman",2957,26344,," <a href=""https://www.last.fm/music/+noredirect/Canovas,+Rodrigo,+Adolfo+Y+Guzman"">Read more on Last.fm</a>"
Broken Back,175458,1630036,"Henry and the Waiter, Lilly Wood & The Prick, Cocoon, Cats on Trees, Trinix","Singer Songwriter based in Paris
 <a href=""https://www.last.fm/music/Broken+Back"">Read more on Last.fm</a>"
Talisco,127884,1036628,"Lilly Wood & The Prick, Naive New Beaters, Elephanz, Diva Faune, BB Brunes","Talisco is a French solo artist who has one EP to his name, ""My Home"". <a href=""https://www.last.fm/music/Talisco"">Read more on Last.fm</a>"
