Artistas,Titulo,Genero,Año
Arctic Monkeys,No. 1 Party Anthem,indie,2013
Arctic Monkeys,Why'd You Only Call Me When You're High?,indie,2013
Arctic Monkeys,Snap Out Of It,indie,2013
Lori Meyers,El Tiempo Pasará,indie,2013
IZAL,Pánico Práctico,indie,2013
IZAL,Agujeros de Gusano,indie,2013
La Maravillosa Orquesta del Alcohol,1932,indie,2013
La Maravillosa Orquesta del Alcohol,Nómadas,indie,2013
Arctic Monkeys,Knee Socks,indie,2013
Cage The Elephant,Cigarette Daydreams,indie,2013
Still Corners,The Trip - 2023 Remaster,indie,2013
Arctic Monkeys,Stop The World I Wanna Get Off With You,indie,2013
Miss Caffeina,Venimos,indie,2013
Ivan Ferreiro,El dormilón,indie,2013
The Neighbourhood,A Little Death,indie,2013
Antonio Flores,Solo Le Pido a Dios - En Directo,indie,2013
Ana Belén,Solo Le Pido a Dios - En Directo,indie,2013
José González,"Stay Alive - From ""The Secret Life of Walter Mitty"" Soundtrack",indie,2013
The Paper Kites,Bloom - Bonus Track,indie,2013
Fitz and The Tantrums,Out of My League,indie,2013
The Neighbourhood,Afraid,indie,2013
Current Joys,Symphonia IX,indie,2013
Current Joys,Blondie,indie,2013
Arctic Monkeys,One For The Road,indie,2013
Foals,My Number,indie,2013
Lori Meyers,Planilandia,indie,2013
Andrés Suárez,Vuelve,indie,2013
Rozalén,80 Veces,indie,2013
Andrés Suárez,Números Cardinales,indie,2013
salvia palth,(dream),indie,2013
Gregory Alan Isakov,Amsterdam,indie,2013
Sampha,Indecision,indie,2013
León Benavente,"Ánimo, Valiente",indie,2013
Full,Distintos,indie,2013
IZAL,Asuntos Delicados,indie,2013
El Kanka,Confesión,indie,2013
Full,Otra vez,indie,2013
La Maravillosa Orquesta del Alcohol,Los Hijos De Johnny Cash,indie,2013
Second,2502,indie,2013
Arctic Monkeys,Fireside,indie,2013
Bedroom,In My Head,indie,2013
Current Joys,New Flesh,indie,2013
The Neighbourhood,Flawless,indie,2013
The Paper Kites,Paint,indie,2013
Cage The Elephant,Telescope,indie,2013
Sons Of The East,Come Away,indie,2013
Rozalén,Saltan Chispas,indie,2013
Rosana,Carta urgente (feat. Abel Pintos),indie,2013
Arctic Monkeys,I Want It All,indie,2013
The Neighbourhood,W.D.Y.W.F.M?,indie,2013
Gregory Alan Isakov,Second Chances,indie,2013
Cecilia,Un Ramito de Violetas,indie,2013
Arctic Monkeys,Mad Sounds,indie,2013
Lori Meyers,Impronta,indie,2013
