artist_name,similar_artist_name,rank
1000mods,Dozer,1
1000mods,Greenleaf,2
1000mods,Stoned Jesus,3
1000mods,Truckfighters,4
1000mods,Planet of Zeus,5
2 In A Room,49ers,1
2 In A Room,Black Box,2
2 In A Room,Technotronic,3
2 In A Room,Adamski,4
2 In A Room,Snap!,5
2001 Canarias,Tunnel Allstars,1
2001 Canarias,Dee Mark,2
2001 Canarias,Bismark,3
2001 Canarias,SQ-1,4
2001 Canarias,Beam Vs. Cyrus,5
5 Seconds of Summer,Luke Hemmings,1
5 Seconds of Summer,Calum Hood,2
5 Seconds of Summer,Michael Clifford,3
5 Seconds of Summer,One Direction,4
5 Seconds of Summer,Niall Horan,5
AC/DC,Airbourne,1
AC/DC,Aerosmith,2
AC/DC,Motörhead,3
AC/DC,Kiss,4
AC/DC,Guns N' Roses,5
Adrian Gurvitz,Jim Diamond,1
Adrian Gurvitz,The Korgis,2
Adrian Gurvitz,Jon Secada,3
Adrian Gurvitz,Peter Cetera,4
Adrian Gurvitz,Ten Sharp,5
Airbag,Bjørn Riis,1
Airbag,RPWL,2
Airbag,The Pineapple Thief,3
Airbag,Gazpacho,4
Airbag,Blackfield,5
Airbourne,The Lazys,1
Airbourne,Hardbone,2
Airbourne,Thundermother,3
Airbourne,Bonafide,4
Airbourne,AC/DC,5
Ale Sergi,Cachorro Lopez,1
Ale Sergi,Santi Celli,2
Ale Sergi,Benjamín Amadeo,3
Ale Sergi,Juan Ingaramo,4
Ale Sergi,El Chacal & Los Alpes Floreados,5
Alex Campos,Jesús Adrián Romero,1
Alex Campos,Marcos Witt,2
Alex Campos,Tercer Cielo,3
Alex Campos,Rojo,4
Alex Campos,Danilo Montero,5
Alice in Chains,Mad Season,1
Alice in Chains,Stone Temple Pilots,2
Alice in Chains,Soundgarden,3
Alice in Chains,Jerry Cantrell,4
Alice in Chains,Temple of the Dog,5
All Good Things,Smash Into Pieces,1
All Good Things,Onlap,2
All Good Things,Self Deception,3
All Good Things,Ashes Remain,4
All Good Things,Fight the Fade,5
All Them Witches,King Buffalo,1
All Them Witches,Mars Red Sky,2
All Them Witches,Graveyard,3
All Them Witches,The Heavy Eyes,4
All Them Witches,1000mods,5
The Allman Brothers Band,Gov't Mule,1
The Allman Brothers Band,Gregg Allman,2
The Allman Brothers Band,The Marshall Tucker Band,3
The Allman Brothers Band,The Derek Trucks Band,4
The Allman Brothers Band,Little Feat,5
Alter Bridge,Tremonti,1
Alter Bridge,Myles Kennedy,2
Alter Bridge,The Mayfield Four,3
Alter Bridge,Slash,4
Alter Bridge,Shinedown,5
Andrés Calamaro,Los Rodríguez,1
Andrés Calamaro,Intoxicados,2
Andrés Calamaro,Los Abuelos de la Nada,3
Andrés Calamaro,Fito Páez,4
Andrés Calamaro,Viejas Locas,5
Anekdoten,Änglagård,1
Anekdoten,Porcupine Tree,2
Anekdoten,Wobbler,3
Anekdoten,Gazpacho,4
Anekdoten,IQ,5
Anitta,Luísa Sonza,1
Anitta,PEDRO SAMPAIO,2
Anitta,Lexa,3
Anitta,Pabllo Vittar,4
Anitta,POCAH,5
Anna Calvi,Nadine Shah,1
Anna Calvi,Bat for Lashes,2
Anna Calvi,PJ Harvey,3
Anna Calvi,Joan as Police Woman,4
Anna Calvi,Scout Niblett,5
Antonio Birabent,Ulises Butrón,1
Antonio Birabent,Fernando Barrientos,2
Antonio Birabent,Francisco Bochatón,3
Antonio Birabent,JAF,4
Antonio Birabent,Ivan Noble,5
Arcade Fire,The National,1
Arcade Fire,Vampire Weekend,2
Arcade Fire,The Shins,3
Arcade Fire,Wolf Parade,4
Arcade Fire,Spoon,5
Arctic Monkeys,The Last Shadow Puppets,1
Arctic Monkeys,Alex Turner,2
Arctic Monkeys,Miles Kane and the Death Ramps,3
Arctic Monkeys,Miles Kane,4
Arctic Monkeys,The Strokes,5
Asking Alexandria,Of Mice & Men,1
Asking Alexandria,Crown the Empire,2
Asking Alexandria,Memphis May Fire,3
Asking Alexandria,I See Stars,4
Asking Alexandria,Attack Attack!,5
Autocontrol,Los Mojarras,1
Autocontrol,Nosequien y los Nosecuantos,2
Autocontrol,Frágil,3
Autocontrol,Sangre Púrpura,4
Autocontrol,Diego Bertie,5
Avenged Sevenfold,Bullet for My Valentine,1
Avenged Sevenfold,Trivium,2
Avenged Sevenfold,Atreyu,3
Avenged Sevenfold,Slipknot,4
Avenged Sevenfold,Three Days Grace,5
Axton,Strana Officina,1
Axton,X-Wild,2
Axton,Railway,3
Axton,Randy Piper's Animal,4
Axton,Skanners,5
B.P.M. System,Lady Gee,1
B.P.M. System,Kike Boy,2
B.P.M. System,Kryss,3
B.P.M. System,New Limit,4
B.P.M. System,Interfront,5
BABYMETAL,Ladybaby,1
BABYMETAL,HANABIE.,2
BABYMETAL,BAND-MAID,3
BABYMETAL,PassCode,4
BABYMETAL,Broken By The Scream,5
Babasónicos,Viejas Locas,1
Babasónicos,Andrés Calamaro,2
Babasónicos,Patricio Rey y sus Redonditos de Ricota,3
Babasónicos,Intoxicados,4
Babasónicos,Turf,5
Bad Boys Blue,C.C. Catch,1
Bad Boys Blue,Silent Circle,2
Bad Boys Blue,Fancy,3
Bad Boys Blue,Savage,4
Bad Boys Blue,Blue System,5
Baio,Slaptop,1
Baio,Digitalism,2
Baio,Parade of Lights,3
Baio,RAC,4
Baio,Metronomy,5
Bee Caves,Jake McMullen,1
Bee Caves,Loamlands,2
Bee Caves,Bird Dog,3
Bee Caves,John Joseph Brill,4
Bee Caves,Quiet Hollers,5
Bersuit Vergarabat,Los Piojos,1
Bersuit Vergarabat,Patricio Rey y sus Redonditos de Ricota,2
Bersuit Vergarabat,Divididos,3
Bersuit Vergarabat,Viejas Locas,4
Bersuit Vergarabat,Intoxicados,5
Beth Hart & Joe Bonamassa,Beth Hart,1
Beth Hart & Joe Bonamassa,Joe Bonamassa,2
Beth Hart & Joe Bonamassa,Joanne Shaw Taylor,3
Beth Hart & Joe Bonamassa,Walter Trout,4
Beth Hart & Joe Bonamassa,Aynsley Lister,5
Bill Haley & His Comets,Carl Perkins,1
Bill Haley & His Comets,Chubby Checker,2
Bill Haley & His Comets,Eddie Cochran,3
Bill Haley & His Comets,Jerry Lee Lewis,4
Bill Haley & His Comets,Danny & The Juniors,5
Black Sabbath,Ozzy Osbourne,1
Black Sabbath,Heaven & Hell,2
Black Sabbath,Dio,3
Black Sabbath,Judas Priest,4
Black Sabbath,Motörhead,5
Bloodhound Gang,The Presidents of the United States of America,1
Bloodhound Gang,CKY,2
Bloodhound Gang,Butthole Surfers,3
Bloodhound Gang,The Offspring,4
Bloodhound Gang,Alien Ant Farm,5
Blur,Graham Coxon,1
Blur,Damon Albarn,2
Blur,Elastica,3
Blur,Pulp,4
Blur,"The Good, the Bad & the Queen",5
Bob Dylan,Bob Dylan and The Band,1
Bob Dylan,Bob Dylan & Johnny Cash,2
Bob Dylan,The Band,3
Bob Dylan,Joan Baez,4
Bob Dylan,Leonard Cohen,5
Bobby Alu,Mishka,1
Bobby Alu,Ziggy Marley,2
Bobby Alu,The Green,3
Bobby Alu,The Elovaters,4
Bobby Alu,Stick Figure,5
Bon,Jay Lehr,1
Bon,DEJO & BRATT,2
Bon,Nick Mansell,3
Bon,D-ESSEX,4
Bon,Annerley,5
Bon Jovi,Jon Bon Jovi,1
Bon Jovi,Richie Sambora,2
Bon Jovi,Def Leppard,3
Bon Jovi,Bryan Adams,4
Bon Jovi,Aerosmith,5
Boy Harsher,Sexual Purity,1
Boy Harsher,Ultra Sunn,2
Boy Harsher,Linea Aspera,3
Boy Harsher,Sextile,4
Boy Harsher,Twin Tribes,5
Boz Scaggs,The Doobie Brothers,1
Boz Scaggs,Robbie Dupree,2
Boz Scaggs,Michael McDonald,3
Boz Scaggs,Pablo Cruise,4
Boz Scaggs,Ambrosia,5
Breaking Benjamin,Three Days Grace,1
Breaking Benjamin,Seether,2
Breaking Benjamin,10 Years,3
Breaking Benjamin,Crossfade,4
Breaking Benjamin,Evans Blue,5
Brian Cross,DJ Nano,1
Brian Cross,Dani Moreno,2
Brian Cross,Jose AM,3
Brian Cross,Wally Lopez,4
Brian Cross,Geo Da Silva & Saftik,5
Bridge to Grace,Oceans Divide,1
Bridge to Grace,Late Night Savior,2
Bridge to Grace,Fight Like Sin,3
Bridge to Grace,Onlap,4
Bridge to Grace,Plan Three,5
Bring Me the Horizon,Bad Omens,1
Bring Me the Horizon,The Plot in You,2
Bring Me the Horizon,Motionless in White,3
Bring Me the Horizon,Asking Alexandria,4
Bring Me the Horizon,Architects,5
Bruce Springsteen,Bruce Springsteen & The E Street Band,1
Bruce Springsteen,John Mellencamp,2
Bruce Springsteen,Billy Joel,3
Bruce Springsteen,Van Morrison,4
Bruce Springsteen,Tom Petty and The Heartbreakers,5
Bryan Adams,Bon Jovi,1
Bryan Adams,Foreigner,2
Bryan Adams,Don Henley,3
Bryan Adams,Def Leppard,4
Bryan Adams,Rod Stewart,5
Enrique Bunbury,Héroes del Silencio,1
Enrique Bunbury,Jaguares,2
Enrique Bunbury,Fobia,3
Enrique Bunbury,Elefante,4
Enrique Bunbury,Caifanes,5
CPM 22,Detonautas Roque Clube,1
CPM 22,NX Zero,2
CPM 22,Hateen,3
CPM 22,Dead Fish,4
CPM 22,Strike,5
Cage the Elephant,Young the Giant,1
Cage the Elephant,The Strokes,2
Cage the Elephant,Cold War Kids,3
Cage the Elephant,Arctic Monkeys,4
Cage the Elephant,Portugal. The Man,5
Cala (Rostros Ocultos),Bon (Bon Y Los Enemigos Del Silencio),1
Cala (Rostros Ocultos),Sabo Romo,2
Cala (Rostros Ocultos),Marciano Cantero (Los Enanitos Verdes),3
Cala (Rostros Ocultos),Kazz (Los Amantes de Lola),4
Cala (Rostros Ocultos),Fráncisco Familiar,5
