id,artist_name,track_name,genre,year
1hvf4GP5GbVQ8aPbVXIsEW,McFly,McFly The Musical - Live At The Royal Albert Hall,rock,2013
4ApSXhiRpboS6M8e0kg9Jq,Tess,The Second That You Sleep - Interphace Remix,rock,2013
36rH4mPe87uobaXzb5uPNG,Midiland,Renegade Dancers - Version Dance,rock,2013
1KqCw7AwVIgRJAIBgH1poL,Los Flechazos,Suzette,rock,2013
318HbfUmnbbZ9C0wmF4Hf0,Kamembert,Sha la la,rock,2013
7vtBFwqQtXEXrVviHANMUV,Hot Tuna,99 Year Blues (Live),rock,2013
2AT8iROs4FQueDv2c8q2KE,Arctic Monkeys,R U Mine?,rock,2013
0WSa1sucoNRcEeULlZVQXj,Bring Me The Horizon,Can You Feel My Heart,rock,2013
2jfk3m8nq5IvB35s2xIs1O,Skillet,Not Gonna Die,rock,2013
5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,rock,2013
5kl4FkCUzVa5wicxafa9yc,Andrés Calamaro,Cuando no estás,rock,2013
0gchQwxmBWj5no8NJ8b2yH,Bring Me The Horizon,Sleepwalking,rock,2013
5vHWh24GAsXJ7tnIu8v7UN,Airbag,Por Mil Noches,rock,2013
3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,"Call It Fate, Call It Karma",rock,2013
7nzsY8vlnKdvGOEE0rjAXZ,Arctic Monkeys,Arabella,rock,2013
68osIGtVjM7QWVe6pazLHj,Bring Me The Horizon,Shadow Moses,rock,2013
1o7D1gLUgpFR3eJfIgpSUx,FLOW,HERO 〜希望の歌〜,rock,2013
7bfocP7GYoLOutUYpTI8tx,The Strokes,Welcome To Japan,rock,2013
11Ojp7JniVvwd0gmgvyKkd,Five Finger Death Punch,Wrong Side of Heaven,rock,2013
1D3YGmST01Ba0WRiT7THPG,Queens of the Stone Age,I Sat by the Ocean,rock,2013
1W0YS64vF9qgMVLuN76aqg,Skillet,Rise,rock,2013
1cAMXz9mnvrqyQLSG4KeeE,Pearl Jam,Sirens,rock,2013
